Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,CY 04 Enplanements,% Change
63.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2430081.0,2439969.0,-0.0041
129.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,420597.0,420394.0,0.0005
135.0,AL,AK,JNU,Juneau,Juneau International,P,S,393453.0,377505.0,0.0422
200.0,AL,AK,BET,Bethel,Bethel,P,N,143670.0,140035.0,0.026
210.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,110211.0,107141.0,0.0287
222.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,87924.0,85439.0,0.0291
231.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,78128.0,66309.0,0.1782
235.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,73882.0,76150.0,-0.0298
251.0,AL,AK,OME,Nome,Nome,P,N,60357.0,63725.0,-0.0529
252.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,58140.0,58999.0,-0.0146
272.0,AL,AK,DLG,Dillingham,Dillingham,P,N,42979.0,46311.0,-0.0719
278.0,AL,AK,AKN,King Salmon,King Salmon,P,N,40160.0,39030.0,0.029
283.0,AL,AK,HOM,Homer,Homer,P,N,38485.0,38744.0,-0.0067
291.0,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,37252.0,49887.0,-0.2533
292.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,36740.0,35178.0,0.0444
302.0,AL,AK,DUT,Unalaska,Unalaska,P,N,30561.0,29733.0,0.0278
325.0,AL,AK,ANI,Aniak,Aniak,P,N,23116.0,20660.0,0.1189
335.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,19657.0,18022.0,0.0907
336.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,19590.0,19454.0,0.007
343.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,17745.0,26504.0,-0.3305
350.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,15522.0,17613.0,-0.1187
362.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,13727.0,13040.0,0.0527
363.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,13703.0,14507.0,-0.0554
373.0,AL,AK,YAK,Yakutat,Yakutat,P,N,11989.0,12400.0,-0.0331
378.0,AL,AK,GST,Gustavus,Gustavus,P,N,11579.0,11673.0,-0.0081
382.0,AL,AK,ENM,Emmonak,Emmonak,P,N,11271.0,6794.0,0.659
383.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,11261.0,12667.0,-0.111
388.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10740.0,10106.0,0.0627
397.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,10224.0,9600.0,0.065
404.0,AL,AK,HNH,Hoonah,Hoonah,CS,None,9499.0,10832.0,-0.1231
406.0,AL,AK,SGY,Skagway,Skagway,CS,None,9385.0,9520.0,-0.0142
407.0,AL,AK,SOV,Seldovia,Seldovia,CS,None,9292.0,9968.0,-0.0678
412.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,8964.0,9523.0,-0.0587
413.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,8661.0,8800.0,-0.0158
415.0,AL,AK,KSM,St Mary's,St Mary's,CS,None,8262.0,9931.0,-0.1681
421.0,AL,AK,HNS,Haines,Haines,CS,None,8054.0,7940.0,0.0144
422.0,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,7968.0,7155.0,0.1136
423.0,AL,AK,ILI,Iliamna,Iliamna,CS,None,7947.0,8531.0,-0.0685
433.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7249.0,5994.0,0.2094
442.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6380.0,6213.0,0.0269
445.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6100.0,6122.0,-0.0036
449.0,AL,AK,WLK,Selawik,Selawik,CS,None,5842.0,6035.0,-0.032
451.0,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,5656.0,552.0,9.2464
452.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,5599.0,5646.0,-0.0083
455.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,5390.0,5310.0,0.0151
460.0,AL,AK,MBA,Manokotak,Manokotak,CS,None,5194.0,8559.0,-0.3932
462.0,AL,AK,MCG,McGrath,McGrath,CS,None,5141.0,5172.0,-0.006
464.0,AL,AK,VAK,Chevak,Chevak,CS,None,5021.0,5330.0,-0.058
467.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4952.0,5173.0,-0.0427
469.0,AL,AK,WTK,Noatak,Noatak,CS,None,4859.0,5001.0,-0.0284
472.0,AL,AK,SVA,Savoonga,Savoonga,CS,None,4637.0,4731.0,-0.0199
476.0,AL,AK,PHO,Point Hope,Point Hope,CS,None,4580.0,4407.0,0.0393
478.0,AL,AK,BLG,Beluga,Beluga,GA,None,4407.0,3450.0,0.2774
479.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,4395.0,4603.0,-0.0452
481.0,AL,AK,GAM,Gambell,Gambell,CS,None,4360.0,4723.0,-0.0769
483.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4149.0,3801.0,0.0916
484.0,AL,AK,BVK,Buckland,Buckland,CS,None,4117.0,4029.0,0.0218
485.0,AL,AK,KLG,Kalskag,Kalskag,CS,None,4105.0,4662.0,-0.1195
486.0,AL,AK,SDP,Sand Point,Sand Point,CS,None,4090.0,4055.0,0.0086
487.0,AL,AK,AWI,Wainwright,Wainwright,CS,None,4049.0,3631.0,0.1151
489.0,AL,AK,2A9,Kotlik,Kotlik,CS,None,4030.0,4106.0,-0.0185
494.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,None,3954.0,4408.0,-0.103
496.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,3867.0,3590.0,0.0772
498.0,AL,AK,KVL,Kivalina,Kivalina,CS,None,3821.0,3591.0,0.064
499.0,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,3821.0,5018.0,-0.2385
500.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3740.0,3570.0,0.0476
501.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3708.0,3412.0,0.0868
502.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3684.0,3819.0,-0.0353
504.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3636.0,3630.0,0.0017
505.0,AL,AK,TYE,Tyonek,Tyonek,GA,None,3631.0,3520.0,0.0315
508.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3582.0,4033.0,-0.1118
509.0,AL,AK,CFK,Chefornak,Chefornak,CS,None,3519.0,3175.0,0.1083
510.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,3502.0,2920.0,0.1993
511.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3433.0,3438.0,-0.0015
513.0,AL,AK,NUL,Nulato,Nulato,CS,None,3359.0,3800.0,-0.1161
515.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,3325.0,3049.0,0.0905
517.0,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,3313.0,4529.0,-0.2685
520.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3289.0,2807.0,0.1717
521.0,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,CS,None,3236.0,2753.0,0.1754
523.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,3109.0,3955.0,-0.2139
524.0,AL,AK,CGA,Craig,Craig,CS,None,3088.0,3931.0,-0.2144
525.0,AL,AK,EEK,Eek,Eek,CS,None,3083.0,2863.0,0.0768
528.0,AL,AK,HLA,Huslia,Huslia,CS,None,3072.0,3333.0,-0.0783
529.0,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,CS,None,3064.0,2774.0,0.1045
530.0,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,3061.0,2948.0,0.0383
531.0,AL,AK,PGM,Port Graham,Port Graham,CS,None,3047.0,3437.0,-0.1135
532.0,AL,AK,ELI,Elim,Elim,CS,None,3023.0,2633.0,0.1481
534.0,AL,AK,KVC,King Cove,King Cove,CS,None,2949.0,2908.0,0.0141
535.0,AL,AK,KEB,English Bay,English Bay,CS,None,2943.0,3397.0,-0.1336
541.0,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,2796.0,2506.0,0.1157
542.0,AL,AK,WBB,Stebbins,Stebbins,CS,None,2793.0,2890.0,-0.0336
543.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,2777.0,2550.0,0.089
544.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2749.0,3298.0,-0.1665
545.0,AL,AK,T44,Kodiak,Trident Basin,CS,None,2730.0,2069.0,0.3195
546.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2708.0,2888.0,-0.0623
550.0,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,2601.0,2149.0,0.2103
551.0,AL,AK,AKI,Akiak,Akiak,CS,None,2587.0,2014.0,0.2845
552.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2581.0,2224.0,0.1605
554.0,AL,AK,Z13,Akiachak,Akiachak,CS,None,2530.0,2103.0,0.203
557.0,AL,AK,KAL,Kaltag,Kaltag,GA,None,2452.0,2578.0,-0.0489
558.0,AL,AK,KTS,Brevig Mission,Brevig Mission,GA,None,2449.0,2239.0,0.0938
561.0,AL,AK,TPO,Port Alsworth,Port Alsworth,GA,None,2420.0,2288.0,0.0577
565.0,AL,AK,AGN,Angoon,Angoon,GA,None,2307.0,2408.0,-0.0419
567.0,AL,AK,SMK,St Michael,St Michael,GA,None,2304.0,2234.0,0.0313
568.0,AL,AK,6A8,Allakaket,Allakaket,GA,None,2298.0,2200.0,0.0445
569.0,AL,AK,KAE,Kake,Kake,GA,None,2270.0,2548.0,-0.1091
571.0,AL,AK,6R7,Old Harbor,Old Harbor,GA,None,2266.0,1635.0,0.3859
572.0,AL,AK,N93,Golovin,Golovin,GA,None,2242.0,2409.0,-0.0693
574.0,AL,AK,4A2,Atmautluak,Atmautluak,GA,None,2204.0,2022.0,0.09
580.0,AL,AK,TOG,Togiak Village,Togiak,GA,None,2137.0,2683.0,-0.2035
581.0,AL,AK,EWU,Newtok,Newtok,GA,None,2136.0,2154.0,-0.0084
583.0,AL,AK,WMO,White Mountain,White Mountain,GA,None,2123.0,2125.0,-0.0009
586.0,AL,AK,HCA,Holy Cross,Holy Cross,GA,None,2093.0,2263.0,-0.0751
588.0,AL,AK,RBY,Ruby,Ruby,GA,None,2076.0,2052.0,0.0117
589.0,AL,AK,EDF,Anchorage,Elmendorf AFB,GA,None,2072.0,972.0,1.1317
590.0,AL,AK,4KA,Tununak,Tununak,GA,None,2066.0,2085.0,-0.0091
592.0,AL,AK,KQA,Akutan,Akutan,GA,None,2044.0,2123.0,-0.0372
594.0,AL,AK,SHG,Shungnak,Shungnak,GA,None,2015.0,1989.0,0.0131
595.0,AL,AK,UUO,Willow,Willow,GA,None,2000.0,902.0,1.2173
597.0,AL,AK,AFM,Ambler,Ambler,GA,None,1988.0,2330.0,-0.1468
600.0,AL,AK,PIZ,Point Lay,Point Lay LRRS,GA,None,1943.0,1702.0,0.1416
602.0,AL,AK,ORI,Port Lions,Port Lions,GA,None,1907.0,1383.0,0.3789
606.0,AL,AK,VEE,Venetie,Venetie,GA,None,1863.0,2252.0,-0.1727
607.0,AL,AK,MYU,Mekoryuk,Mekoryuk,GA,None,1860.0,2074.0,-0.1032
608.0,AL,AK,DEE,Deering,Deering,GA,None,1828.0,1667.0,0.0966
609.0,AL,AK,KTB,Thorne Bay,Thorne Bay,GA,None,1828.0,2761.0,-0.3379
615.0,AL,AK,4K5,Ouzinkie,Ouzinkie,GA,None,1684.0,1287.0,0.3085
616.0,AL,AK,IGT,Nightmute,Nightmute,GA,None,1664.0,1660.0,0.0024
620.0,AL,AK,TER,Teller,Teller,GA,None,1644.0,1388.0,0.1844
624.0,AL,AK,BTT,Bettles,Bettles,GA,None,1615.0,1581.0,0.0215
625.0,AL,AK,ARC,Arctic Village,Arctic Village,GA,None,1613.0,1596.0,0.0107
631.0,AL,AK,SHX,Shageluk,Shageluk,GA,None,1499.0,1408.0,0.0646
632.0,AL,AK,KWF,Waterfall,Waterfall,GA,None,1498.0,1658.0,-0.0965
636.0,AL,AK,IWK,Wales,Wales,GA,None,1461.0,1697.0,-0.1391
637.0,AL,AK,WNA,Napakiak,Napakiak,GA,None,1454.0,1611.0,-0.0975
639.0,AL,AK,KGX,Grayling,Grayling,GA,None,1418.0,1629.0,-0.1295
642.0,AL,AK,PKA,Napaskiak,Napaskiak,GA,None,1386.0,1005.0,0.3791
646.0,AL,AK,EII,Egegik,Egegik,GA,None,1352.0,1326.0,0.0196
648.0,AL,AK,HYL,Hollis,Hollis,GA,None,1346.0,1691.0,-0.204
650.0,AL,AK,GNU,Goodnews,Goodnews,GA,None,1325.0,1344.0,-0.0141
654.0,AL,AK,5NN,Nondalton,Nondalton,GA,None,1304.0,2037.0,-0.3598
657.0,AL,AK,FSP,Nikolai,Nikolai,GA,None,1283.0,488.0,1.6291
658.0,AL,AK,5AK0,Trading Bay,Trading Bay Production,GA,None,1269.0,101.0,11.5644
659.0,AL,AK,EAA,Eagle,Eagle,GA,None,1265.0,726.0,0.7424
660.0,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,None,1262.0,1650.0,-0.2352
662.0,AL,AK,OBU,Kobuk,Kobuk,GA,None,1256.0,1244.0,0.0096
664.0,AL,AK,GBH,Galbraith Lake,Galbraith Lake,GA,None,1229.0,1094.0,0.1234
667.0,AL,AK,SXP,Sheldon Point,Sheldon Point,GA,None,1212.0,1364.0,-0.1114
668.0,AL,AK,TKE,Tenakee Springs,Tenakee,GA,None,1197.0,1104.0,0.0842
669.0,AL,AK,HUS,Hughes,Hughes,GA,None,1188.0,999.0,0.1892
670.0,AL,AK,ANV,Anvik,Anvik,GA,None,1179.0,1322.0,-0.1082
671.0,AL,AK,9K2,Kokhanok,Kokhanok,GA,None,1167.0,1845.0,-0.3675
672.0,AL,AK,AKK,Akhiok,Akhiok,GA,None,1153.0,892.0,0.2926
673.0,AL,AK,AJC,Chignik,Chignik,GA,None,1130.0,1194.0,-0.0536
675.0,AL,AK,LKK,Kulik Lake,Kulik Lake,GA,None,1125.0,1169.0,-0.0376
682.0,AL,AK,KYU,Koyukuk,Koyukuk,GA,None,1043.0,1101.0,-0.0527
683.0,AL,AK,CIK,Chalkyitsik,Chalkyitsik,GA,None,1030.0,1162.0,-0.1136
685.0,AL,AK,Z41,Anchorage,Lake Hood Strip,GA,None,1025.0,0.0,0.0
686.0,AL,AK,WBQ,Beaver,Beaver,GA,None,1023.0,998.0,0.0251
689.0,AL,AK,CLP,Clarks Point,Clarks Point,GA,None,992.0,1185.0,-0.1629
691.0,AL,AK,PTH,Port Heiden,Port Heiden,GA,None,981.0,1201.0,-0.1832
692.0,AL,AK,9A3,Chuathbaluk,Chuathbaluk,GA,None,961.0,787.0,0.2211
693.0,AL,AK,PEC,Pelican,Pelican,GA,None,949.0,821.0,0.1559
695.0,AL,AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,None,936.0,1730.0,-0.459
698.0,AL,AK,IGG,Igiugig,Igiugig,GA,None,912.0,920.0,-0.0087
700.0,AL,AK,SLQ,Sleetmute,Sleetmute,GA,None,902.0,842.0,0.0713
701.0,AL,AK,CJX,Crooked Creek,Crooked Creek,GA,None,900.0,1007.0,-0.1063
703.0,AL,AK,KNW,New Stuyahok,New Stuyahok,GA,None,883.0,1304.0,-0.3229
709.0,AL,AK,PNP,Pilot Point,Pilot Point,GA,None,818.0,1075.0,-0.2391
710.0,AL,AK,TCT,Takotna,Takotna,GA,None,795.0,149.0,4.3356
712.0,AL,AK,AKW,Klawock,Klawock,GA,None,789.0,476.0,0.6576
713.0,AL,AK,PEV,Perryville,Perryville,GA,None,788.0,748.0,0.0535
717.0,AL,AK,TKA,Talkeetna,Talkeetna,GA,None,708.0,0.0,0.0
718.0,AL,AK,KDK,Kodiak,Kodiak Municipal,GA,None,703.0,6963.0,-0.899
719.0,AL,AK,4K0,Pedro Bay,Pedro Bay,GA,None,695.0,995.0,-0.3015
720.0,AL,AK,PPC,Prospect Creek,Prospect Creek,GA,None,675.0,695.0,-0.0288
721.0,AL,AK,PBV,St. George,St George,GA,None,671.0,647.0,0.0371
722.0,AL,AK,KYK,Karluk,Karluk,GA,None,666.0,564.0,0.1809
726.0,AL,AK,9Z8,Levelock,Levelock,GA,None,637.0,679.0,-0.0619
734.0,AL,AK,WSN,South Naknek,South Naknek Nr 2,GA,None,543.0,509.0,0.0668
735.0,AL,AK,JZZ,Koliganek,Koliganek,GA,None,540.0,574.0,-0.0592
736.0,AL,AK,KCL,Chignik Flats,Chignik Lagoon,GA,None,537.0,517.0,0.0387
738.0,AL,AK,SVS,Stevens Village,Stevens Village,GA,None,526.0,699.0,-0.2475
749.0,AL,AK,PTU,Platinum,Platinum,GA,None,483.0,531.0,-0.0904
751.0,AL,AK,RDV,Red Devil,Red Devil,GA,None,482.0,293.0,0.6451
752.0,AL,AK,A63,Twin Hills,Twin Hills,GA,None,480.0,515.0,-0.068
754.0,AL,AK,78K,Yes Bay,Yes Bay Lodge,GA,None,467.0,584.0,-0.2003
755.0,AL,AK,1AK3,Cold Bay,Port Moller Air Force Station,GA,None,456.0,421.0,0.0831
766.0,AL,AK,CXF,Coldfoot,Coldfoot,GA,None,427.0,367.0,0.1635
769.0,AL,AK,SRV,Stony River,Stony River 2,GA,None,418.0,408.0,0.0245
772.0,AL,AK,EXI,Excursion Inlet,Excursion Inlet,GA,None,386.0,202.0,0.9109
773.0,AL,AK,KEK,Ekwok,Ekwok,GA,None,381.0,369.0,0.0325
782.0,AL,AK,ELV,Elfin Cove,Elfin Cove,GA,None,340.0,1736.0,-0.8041
783.0,AL,AK,KFP,False Pass,False Pass,GA,None,337.0,301.0,0.1196
784.0,AL,AK,CRC,Circle,Circle City /New/,GA,None,331.0,355.0,-0.0676
788.0,AL,AK,3AK5,Kenai,Drift River,GA,None,312.0,0.0,0.0
789.0,AL,AK,Z91,Birch Creek,Birch Creek,GA,None,312.0,436.0,-0.2844
794.0,AL,AK,AFE,Kake,Kake,GA,None,299.0,49.0,5.102
796.0,AL,AK,AKA,Atka,Atka,GA,None,295.0,336.0,-0.122
797.0,AL,AK,DM2,Diomede,Diomede,GA,None,292.0,122.0,1.3934
805.0,AL,AK,IKO,Nikolski,Nikolski AS,GA,None,267.0,278.0,-0.0396
811.0,AL,AK,GKN,Gulkana,Gulkana,GA,None,255.0,325.0,-0.2154
815.0,AL,AK,4AK6,Palmer,Wolf Lake,GA,None,250.0,0.0,0.0
819.0,AL,AK,RMP,Rampart,Rampart,GA,None,250.0,265.0,-0.0566
821.0,AL,AK,A14,Portage Creek,Portage Creek,GA,None,247.0,603.0,-0.5904
823.0,AL,AK,OUL,Nelson Lagoon,Nelson Lagoon,GA,None,242.0,262.0,-0.0763
826.0,AL,AK,AK15,Deadhorse,Alpine Airstrip,GA,None,234.0,562.0,-0.5836
832.0,AL,AK,AHP,Port Alexander,Port Alexander,GA,None,223.0,0.0,0.0
833.0,AL,AK,8AK3,Selawik,Roland Norton Memorial Airstrip,GA,None,222.0,227.0,-0.022
837.0,AL,AK,UBW,Kuparuk,Ugnu-Kuparuk,GA,None,214.0,769.0,-0.7217
841.0,AL,AK,UMT,Umiat,Umiat,GA,None,200.0,349.0,-0.4269
845.0,AL,AK,51Z,Minto,Minto,GA,None,189.0,202.0,-0.0644
846.0,AL,AK,SXQ,Soldotna,Soldotna,GA,None,187.0,1277.0,-0.8536
859.0,AL,AK,UGB,Pilot Point,Ugashik Bay,GA,None,173.0,193.0,-0.1036
862.0,AL,AK,MHM,Lake Minchumina,Minchumina,GA,None,165.0,172.0,-0.0407
866.0,AL,AK,TKJ,Tok,Tok,GA,None,163.0,124.0,0.3145
867.0,AL,AK,AK96,Egegik,Bartletts,GA,None,160.0,389.0,-0.5887
877.0,AL,AK,2AK,Lime Village,Lime Village,GA,None,150.0,50.0,2.0
880.0,AL,AK,KCC,Coffman Cove,Coffman Cove,GA,None,148.0,163.0,-0.092
882.0,AL,AK,PAQ,Palmer,Palmer Municipal,GA,None,144.0,93.0,0.5484
886.0,AL,AK,SKW,Skwentna,Skwentna,GA,None,138.0,226.0,-0.3894
887.0,AL,AK,KPC,Port Clarence,Port Clarence CGS,GA,None,134.0,149.0,-0.1007
889.0,AL,AK,4Z7,Hyder,Hyder,GA,None,133.0,127.0,0.0472
896.0,AL,AK,HWI,Hawk Inlet,Hawk Inlet,GA,None,127.0,1174.0,-0.8918
897.0,AL,AK,EHM,Cape Newenham,Cape Newenham LRRS,GA,None,126.0,106.0,0.1887
901.0,AL,AK,AK71,Lonely,Lonely AS,GA,None,124.0,62.0,1.0
903.0,AL,AK,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,None,122.0,193.0,-0.3679
905.0,AL,AK,5NK,Naknek,Naknek,GA,None,120.0,163.0,-0.2638
906.0,AL,AK,9AK3,Tyonek,Nikolai Creek,GA,None,120.0,0.0,0.0
913.0,AL,AK,UTO,Utopia Creek,Indian Mountain LRRS,GA,None,114.0,119.0,-0.042
929.0,AL,AK,CHP,Circle Hot Springs,Circle Hot Springs,GA,None,102.0,105.0,-0.0286
931.0,AL,AK,BGQ,Big Lake,Big Lake,GA,None,100.0,0.0,0.0
933.0,AL,AK,WCR,Chandalar Lake,Chandalar Lake,GA,None,96.0,101.0,-0.0495
938.0,AL,AK,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,None,92.0,120.0,-0.2333
949.0,AL,AK,TNC,Tin City,Tin City LRRS,GA,None,87.0,98.0,-0.1122
957.0,AL,AK,HRR,Healy,Healy River,GA,None,81.0,2259.0,-0.9641
962.0,AL,AK,84K,Meyers Chuck,Meyers Chuck,GA,None,77.0,57.0,0.3509
965.0,AL,AK,ENN,Nenana,Nenana Municipal,GA,None,75.0,49.0,0.5306
970.0,AL,AK,AK40,McGrath,Nixon Fork Mine,GA,None,73.0,159.0,-0.5409
974.0,AL,AK,C05,Chenega,Chenega Bay,GA,None,72.0,112.0,-0.3571
979.0,AL,AK,19P,Port Protection,Port Protection,GA,None,70.0,70.0,0.0
983.0,AL,AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,69.0,104.0,-0.3365
985.0,AL,AK,AK75,Candle,Candle 2,GA,None,68.0,14.0,3.8571
991.0,AL,AK,ALZ,Lazy Bay,Alitak,GA,None,66.0,64.0,0.0313
994.0,AL,AK,TLJ,Takotna,Tatalina LRRS,GA,None,66.0,82.0,-0.1951
995.0,AL,AK,KXA,Kasaan,Kasaan,GA,None,65.0,63.0,0.0317
998.0,AL,AK,ZNC,Nyac,Nyac,GA,None,64.0,88.0,-0.2727
1009.0,AL,AK,DCK,Dahl Creek,Dahl Creek,GA,None,58.0,62.0,-0.0645
1013.0,AL,AK,15Z,McCarthy,McCarthy,GA,None,57.0,58.0,-0.0172
1018.0,AL,AK,0AK2,Cape Simpson,Cape Simpson,GA,None,55.0,0.0,0.0
1023.0,AL,AK,FNR,Funter Bay,Funter Bay,GA,None,54.0,290.0,-0.8138
1031.0,AL,AK,2K5,Telida,Telida,GA,None,52.0,3.0,16.3333
1046.0,AL,AK,FLT,Flat,Flat,GA,None,49.0,3.0,15.3333
1053.0,AL,AK,TSG,Tanacross,Tanacross,GA,None,47.0,161.0,-0.7081
1063.0,AL,AK,CEM,Central,Central,GA,None,44.0,50.0,-0.12
1083.0,AL,AK,5C5,Craig,El Capitan Lodge,GA,None,40.0,3.0,12.3333
1088.0,AL,AK,BQV,Bartlett Cove,Bartlett Cove,GA,None,39.0,10.0,2.9
1098.0,AL,AK,2AK6,Hogatza,Hog River,GA,None,36.0,92.0,-0.6087
1102.0,AL,AK,MOS,Elim,Moses Point,GA,None,36.0,345.0,-0.8957
1113.0,AL,AK,CZN,Chisana,Chisana,GA,None,33.0,49.0,-0.3265
1135.0,AL,AK,KMY,Moser Bay,Moser Bay,GA,None,30.0,20.0,0.5
1158.0,AL,AK,3T4,Tetlin,Tetlin,GA,None,27.0,14.0,0.9286
1159.0,AL,AK,7KA,Tatitlek,Tatitlek,GA,None,27.0,260.0,-0.8962
1163.0,AL,AK,KWP,West Point,West Point Village,GA,None,27.0,21.0,0.2857
1164.0,AL,AK,NIN,Ninilchik,Ninilchik,GA,None,27.0,0.0,0.0
1168.0,AL,AK,9A8,Ugashik,Ugashik/New,GA,None,26.0,12.0,1.1667
1170.0,AL,AK,FWL,Farewell,Farewell,GA,None,26.0,11.0,1.3636
1177.0,AL,AK,CKX,Chicken,Chicken,GA,None,25.0,19.0,0.3158
1186.0,AL,AK,37AK,Big Mountain Radio Relay Site (U.S. Air Force),Big Mountain,GA,None,23.0,21.0,0.0952
1187.0,AL,AK,96Z,North Whale Pass,North Whale,GA,None,23.0,32.0,-0.2813
1193.0,AL,AK,KPB,Point Baker,Point Baker,GA,None,23.0,65.0,-0.6462
1201.0,AL,AK,KIB,Ivanof Bay,Ivanof Bay,GA,None,22.0,24.0,-0.0833
1209.0,AL,AK,HYG,Hydaburg,Hydaburg,GA,None,21.0,35.0,-0.4
1214.0,AL,AK,7AK2,Snettisham,Snettisham,GA,None,20.0,321.0,-0.9377
1240.0,AL,AK,4AK1,Deadhorse,Inigok,GA,None,18.0,542.0,-0.9668
1244.0,AL,AK,KKB,Kitoi Bay,Kitoi Bay,GA,None,18.0,7.0,1.5714
1253.0,AL,AK,8AK7,Kaktovik,Bullen Point Air Force Station,GA,None,17.0,44.0,-0.6136
1266.0,AL,AK,0AK6,Victory Bible Camp,Victory,GA,None,16.0,17.0,-0.0588
1271.0,AL,AK,K29,Council,Council,GA,None,16.0,2.0,7.0
1287.0,AL,AK,GSZ,Granite Mountain,Granite Mountain AS,GA,None,15.0,0.0,0.0
1302.0,AL,AK,46AK,Homer,Bear Cove Farm,GA,None,14.0,0.0,0.0
1307.0,AL,AK,CYM,Chatham,Chatham,GA,None,14.0,31.0,-0.5484
1319.0,AL,AK,Z52,Bear Lake,Johnsons Landing,GA,None,14.0,0.0,0.0
1321.0,AL,AK,5HO,Hope,Hope,GA,None,13.0,0.0,0.0
1335.0,AL,AK,KPR,Port Williams,Port Williams,GA,None,13.0,6.0,1.1667
1345.0,AL,AK,76AK,Delta Junction,Pogo Mine Airstrip,GA,None,12.0,386.0,-0.9689
1391.0,AL,AK,AK81,Amook Bay,Amook Bay,GA,None,10.0,7.0,0.4286
1411.0,AL,AK,SYA,Shemya,Eareckson AS,GA,None,10.0,19.0,-0.4737
1420.0,AL,AK,AK60,Jensens,Fort Jensen,GA,None,9.0,35.0,-0.7429
1424.0,AL,AK,CYT,Yakataga,Yakataga,GA,None,9.0,0.0,0.0
1425.0,AL,AK,D66,Delta Junction,Delta Junction,GA,None,9.0,16.0,-0.4375
1451.0,AL,AK,AK07,Anchorage,Dog Fish Bay,GA,None,8.0,0.0,0.0
1477.0,AL,AK,SVW,Sparrevohn,Sparrevohn LRRS,GA,None,8.0,5.0,0.6
1481.0,AL,AK,WSJ,San Juan,San Juan /Uganik/,GA,None,8.0,13.0,-0.3846
1492.0,AL,AK,KOY,Olga Bay,Olga Bay,GA,None,7.0,17.0,-0.5882
